x,y,z,vx,vy,vz,fx,fy,fz,mass
-24.743452,-4.063233,-0.335526,5.438423,-0.712808,-0.237966,0.000000,0.000000,0.000000,1.108544
415.224834,200.328275,-396.265249,433.427488,201.941243,-396.239614,0.000000,0.000000,0.000000,1.126065
-11.207218,-22.084319,-16.790351,8.120885,-24.067608,-16.181632,0.000000,0.000000,0.000000,0.994733
22207.301761,32714.706712,-37366.748992,22233.217164,32704.107387,-37366.347244,0.000000,0.000000,0.000000,0.822397
-7331.335727,-7437.143318,-9024.201610,-7310.567351,-7437.432766,-9023.992339,0.000000,0.000000,0.000000,0.898558
-26.705842,-16.235656,10.075657,-5.625272,-2.781486,9.734188,0.000000,0.000000,0.000000,0.846977
-26.163704,5.007986,0.785538,-1.869711,3.303342,1.780582,0.000000,0.000000,0.000000,1.116249
10160.579318,6674.718412,-17210.900648,10187.235290,6673.267308,-17210.970126,0.000000,0.000000,0.000000,1.187704
-5.757889,5.810058,4.454715,5.100657,2.738486,6.135290,0.000000,0.000000,0.000000,0.950589
6175.135294,-455034.961736,829919.271765,6200.917156,-455045.813734,829919.125212,0.000000,0.000000,0.000000,0.818971
-10.692705,-1.582338,3.025610,-0.152263,-2.261713,2.841559,0.000000,0.000000,0.000000,1.167247
-13.483856,1.433151,6.822988,0.353055,2.469984,7.206504,0.000000,0.000000,0.000000,0.972061
-22.430359,-9.899259,-14.277449,-3.351637,-0.919515,-14.087848,0.000000,0.000000,0.000000,1.081818
1369.508381,14076.210970,9590.870999,1389.009925,14075.379929,9591.042849,0.000000,0.000000,0.000000,0.989544
-11.584227,-0.981100,-8.901586,2.041005,-3.511401,-8.260658,0.000000,0.000000,0.000000,1.158531
-17.665952,-8.830695,-1.540440,2.972468,-3.491598,-1.910496,0.000000,0.000000,0.000000,1.162612
-17.783993,-10.249601,0.590573,0.042285,-1.083856,0.898085,0.000000,0.000000,0.000000,0.916922
-27.608590,-25.087357,-7.849277,-0.569000,-13.770073,-8.041984,0.000000,0.000000,0.000000,0.931872
-539.819959,-40.126404,-229.875163,-519.996952,-40.808559,-229.449507,0.000000,0.000000,0.000000,1.092022
-9.438463,-0.687861,0.946246,0.219857,0.820539,0.511545,0.000000,0.000000,0.000000,1.076214
-12.963021,-14.745154,-9.393345,-2.814412,-11.571638,-10.046076,0.000000,0.000000,0.000000,0.867463
-10.323758,12.814969,1.207880,2.025997,0.971953,0.988270,0.000000,0.000000,0.000000,0.990617
0.649488,-17.048664,7.396853,15.258682,-13.810599,7.695623,0.000000,0.000000,0.000000,0.852733
-29897718.320193,-1645828.363257,42207326.550103,-29897697.588248,-1645828.815546,42207326.486542,0.000000,0.000000,0.000000,1.112751
-20.879438,1.951929,-2.264524,-0.505465,-1.631089,-1.989552,0.000000,0.000000,0.000000,0.971706
-67282.182306,-1483723.404396,635165.240658,-67263.339027,-1483723.199617,635164.823304,0.000000,0.000000,0.000000,0.863572
-7.584473,-5.229817,-0.901460,1.301840,-2.180280,-1.167597,0.000000,0.000000,0.000000,0.901633
-10.411948,-3.667206,-6.275185,-1.794390,1.884275,-5.943441,0.000000,0.000000,0.000000,1.076310
-20.102168,9.755890,4.370595,8.832267,-1.377033,4.880620,0.000000,0.000000,0.000000,1.079740
-30.715867,2.589074,-2.379820,0.096609,2.816626,-1.989993,0.000000,0.000000,0.000000,1.131573
-2370.059231,-7205.850385,-19487.507623,-2356.955330,-7221.448270,-19545.535509,0.000000,0.000000,0.000000,0.949219
190.715291,-131.104941,-107.248429,204.703595,-128.444546,-106.990509,0.000000,0.000000,0.000000,1.028994
-291.140886,128.480876,675.161699,-265.256322,131.345876,675.035811,0.000000,0.000000,0.000000,0.888145
0.270995,33.127439,27.091228,25.600900,38.263182,26.673527,0.000000,0.000000,0.000000,1.109194
16.493006,-9.074763,-153.757018,33.724585,-10.326414,-153.487961,0.000000,0.000000,0.000000,0.870110
-28.945072,6.434511,-0.457376,0.766125,3.331038,-0.722011,0.000000,0.000000,0.000000,1.027614
-16.061978,-3.662076,4.242610,7.606503,1.245157,4.003327,0.000000,0.000000,0.000000,0.878708
-11.508592,-11.419439,0.027435,0.412402,0.260266,0.000072,0.000000,0.000000,0.000000,0.932374
-15.463008,15.157556,-16.441900,5.261523,5.057269,-16.187786,0.000000,0.000000,0.000000,0.950720
19.050343,35.895081,-33.304108,33.986894,35.278873,-33.910184,0.000000,0.000000,0.000000,0.987029
-28.305860,-13.043979,0.487774,0.913456,-1.322042,0.304045,0.000000,0.000000,0.000000,0.961445
2.212840,-77.181632,89.477785,21.238704,-77.512755,89.606422,0.000000,0.000000,0.000000,0.803227
52973.107833,-56780.665503,-11621.498058,52993.622731,-56780.957567,-11621.422265,0.000000,0.000000,0.000000,0.945113
-27.748515,1.066502,-12.558575,-3.328264,5.784820,-12.751553,0.000000,0.000000,0.000000,0.965340
-27.719440,9.200378,5.066974,-12.166215,2.728240,4.037899,0.000000,0.000000,0.000000,1.008691
2903.114371,17943.535764,17577.897472,2924.559006,17943.585495,17577.989223,0.000000,0.000000,0.000000,1.081289
-42.327169,142.707932,-12.532227,-28.560401,147.451544,-11.774404,0.000000,0.000000,0.000000,1.057274
-13.709335,-4.182210,31.573878,3.184817,-3.079979,30.236235,0.000000,0.000000,0.000000,1.011438
