x,y,z,vx,vy,vz,fx,fy,fz,mass
78617.068848,-43660.354193,-4067.077615,1966.235654,-1091.513390,-101.679743,0.000000,0.000000,0.000000,1.108544
1989224.194017,2649314.885040,-616034.517176,49731.061858,66232.923652,-15400.855392,0.000000,0.000000,0.000000,1.126065
-5928.154657,-9620.225827,-16040.778590,-147.733465,-240.551527,-401.007287,0.000000,0.000000,0.000000,0.994733
90031369.161158,132431249.619238,-151311492.328994,2250784.876914,3310780.975498,-3782787.298181,0.000000,0.000000,0.000000,0.822397
-29503344.580242,-30018319.252040,-36425142.844616,-737583.095297,-750457.988537,-910628.565884,0.000000,0.000000,0.000000,0.898558
-6057.215712,-4510.461681,6374.427811,-150.905772,-112.427604,159.348517,0.000000,0.000000,0.000000,0.846977
-54.927689,0.571136,-3.989867,-0.756443,-0.082351,-0.114821,0.000000,0.000000,0.000000,1.116249
41205452.348280,26993672.992554,-69616524.392026,1030136.975106,674841.788536,-1740413.111538,0.000000,0.000000,0.000000,1.187704
9502.455637,3146.988475,1046.086392,237.857018,78.621478,26.153092,0.000000,0.000000,0.000000,0.950589
25299244.318961,-1856463246.663745,3385843577.465128,632481.752521,-46411581.437894,84646089.432965,0.000000,0.000000,0.000000,0.818971
-476.538502,-272.262393,656.830670,-11.675630,-6.798302,16.409953,0.000000,0.000000,0.000000,1.167247
3230.912978,-1818.033792,2521.949292,81.331309,-45.550376,63.209775,0.000000,0.000000,0.000000,0.972061
-2443.139695,2936.384111,-11910.600573,-60.599453,73.638548,-297.754538,0.000000,0.000000,0.000000,1.081818
5612899.655246,56894906.925432,38762740.005438,140322.978920,1422372.652360,969068.504432,0.000000,0.000000,0.000000,0.989544
9082.499324,-4508.719463,-13859.025047,227.424879,-112.780727,-346.466090,0.000000,0.000000,0.000000,1.158531
18849.668216,-20682.842882,-15567.749720,472.899980,-518.218641,-390.155440,0.000000,0.000000,0.000000,1.162612
-115.788476,-3.058363,84.967069,-4.187107,0.443571,3.150354,0.000000,0.000000,0.000000,0.916922
1722.321455,-15316.019493,-8045.733002,43.734136,-382.616954,-201.147604,0.000000,0.000000,0.000000,0.931872
-2086632.672629,-14376.486108,-916957.731241,-52165.321241,-359.428273,-22923.932570,0.000000,0.000000,0.000000,1.092022
-19.474306,28.380568,5.615405,-0.316061,0.854773,-0.027017,0.000000,0.000000,0.000000,1.076214
432.057501,-26.893400,-160.220524,11.091253,-0.599464,-4.003933,0.000000,0.000000,0.000000,0.867463
317.647716,256.031215,110.709783,8.249828,6.104620,2.762230,0.000000,0.000000,0.000000,0.990617
83216.376514,26194.935972,20408.711191,2080.791022,654.979569,510.225993,0.000000,0.000000,0.000000,0.852733
-124538396776.843216,-6855832930.978556,175813979837.665070,-3113459918.902810,-171395823.285772,4395349495.940047,0.000000,0.000000,0.000000,1.112751
666.596546,-481.560206,-722.938650,17.174556,-12.128642,-18.065396,0.000000,0.000000,0.000000,0.971706
-276616881.129891,-6063340464.360706,2596673921.087311,-6915421.557165,-151583511.603897,64916848.016750,0.000000,0.000000,0.000000,0.863572
-9773.750005,-4784.463152,1075.714607,-246.587025,-120.725181,27.170273,0.000000,0.000000,0.000000,0.901633
-1136.701685,896.342639,-3858.987302,-28.202079,22.546913,-96.466106,0.000000,0.000000,0.000000,1.076310
22027.693058,11673.498237,-4196.498335,551.428544,291.576036,-104.915292,0.000000,0.000000,0.000000,1.079740
-123.923554,3.118657,15.340330,-2.346980,0.065794,0.410991,0.000000,0.000000,0.000000,1.131573
195930.639983,1428251.900069,-247745.112822,4898.774006,35706.475496,-6193.617298,0.000000,0.000000,0.000000,0.949219
825009.001031,-517461.427384,-425817.170568,20625.574814,-12936.469149,-10645.422619,0.000000,0.000000,0.000000,1.028994
-1068321.800207,530260.638029,2714597.454396,-26707.397891,13256.587576,67864.933213,0.000000,0.000000,0.000000,0.888145
110323.097240,161368.660901,65492.971774,2758.711113,4034.345353,1637.312436,0.000000,0.000000,0.000000,1.109194
-285870.368444,68652.699525,-156888.931296,-7146.350488,1716.301771,-3922.213791,0.000000,0.000000,0.000000,0.870110
-54.509208,-0.681266,13.868071,-0.725702,-0.047896,0.289444,0.000000,0.000000,0.000000,1.027614
12.077370,-0.305020,18.010440,0.852662,0.064014,0.399346,0.000000,0.000000,0.000000,0.878708
-7.357045,-44.073285,-17.430470,0.101815,-0.808765,-0.429982,0.000000,0.000000,0.000000,0.932374
