x,y,z,vx,vy,vz,fx,fy,fz,mass
-26.917052,-3.777101,-0.237021,5.439427,-0.705241,-0.260477,0.000000,0.000000,0.000000,1.108544
241.853838,119.551778,-237.769404,433.427488,201.941243,-396.239614,0.000000,0.000000,0.000000,1.126065
-14.455572,-12.457272,-10.317696,8.120885,-24.067639,-16.181655,0.000000,0.000000,0.000000,0.994733
13314.014895,19633.063758,-22420.210095,22233.217164,32704.107387,-37366.347244,0.000000,0.000000,0.000000,0.822397
-4407.108787,-4462.170211,-5414.604675,-7310.567351,-7437.432766,-9023.992339,0.000000,0.000000,0.000000,0.898558
-24.455554,-15.123089,6.181912,-5.626430,-2.781490,9.734623,0.000000,0.000000,0.000000,0.846977
-25.662869,4.215286,0.289036,-0.190872,-0.257186,0.346359,0.000000,0.000000,0.000000,1.116249
6085.685202,4005.411489,-10326.512597,10187.235290,6673.267308,-17210.970126,0.000000,0.000000,0.000000,1.187704
-7.797526,4.713992,1.999795,5.091685,2.742396,6.143981,0.000000,0.000000,0.000000,0.950589
3694.768432,-273016.636242,497951.621680,6200.917156,-455045.813734,829919.125212,0.000000,0.000000,0.000000,0.818971
-10.529405,-0.764702,1.915007,-1.756268,-0.850916,2.206501,0.000000,0.000000,0.000000,1.167247
-13.619762,0.450762,3.943609,0.327032,2.425877,7.188110,0.000000,0.000000,0.000000,0.972061
-21.089821,-9.531061,-8.642458,-3.350912,-0.922868,-14.086599,0.000000,0.000000,0.000000,1.081818
813.904411,8446.058999,5754.453860,1389.009925,14075.379929,9591.042849,0.000000,0.000000,0.000000,0.989544
-12.400581,0.423540,-5.597243,2.040364,-3.512378,-8.261398,0.000000,0.000000,0.000000,1.158531
-18.856832,-7.413392,-0.783999,2.989818,-3.641276,-1.859611,0.000000,0.000000,0.000000,1.162612
-17.802639,-9.819242,0.230989,0.051787,-1.072429,0.898262,0.000000,0.000000,0.000000,0.916922
-27.380990,-19.579328,-4.632487,-0.569007,-13.770079,-8.041945,0.000000,0.000000,0.000000,0.931872
-331.821178,-23.802981,-138.095361,-519.996952,-40.808559,-229.449507,0.000000,0.000000,0.000000,1.092022
-9.509369,-0.997004,0.746110,0.184716,0.700744,0.495311,0.000000,0.000000,0.000000,1.076214
-11.837236,-10.116599,-5.374877,-2.814388,-11.570308,-10.046424,0.000000,0.000000,0.000000,0.867463
-11.135028,12.426302,0.812269,2.033541,0.970166,0.990185,0.000000,0.000000,0.000000,0.990617
-5.453988,-11.524408,4.318569,15.258736,-13.810730,7.695873,0.000000,0.000000,0.000000,0.852733
-17938639.284894,-987496.837038,25324395.955486,-29897697.588248,-1645828.815546,42207326.486542,0.000000,0.000000,0.000000,1.112751
-20.658961,2.596845,-1.493226,-0.566982,-1.611686,-1.906394,0.000000,0.000000,0.000000,0.971706
