x,y,z,vx,vy,vz,fx,fy,fz,mass
4.000008,4.000008,4.000243,0.000156,0.000158,0.004807,0.000000,0.000000,0.000000,1.000000
5.999989,4.000009,4.000247,-0.000214,0.000186,0.004890,0.000000,0.000000,0.000000,1.000000
7.999755,4.000010,4.000249,-0.004858,0.000210,0.004920,0.000000,0.000000,0.000000,1.000000
0.000272,5.999997,3.999880,0.005392,-0.000057,-0.002757,0.000000,0.000000,0.000000,1.000000
2.000059,5.999995,4.000204,0.001218,-0.000106,0.003990,0.000000,0.000000,0.000000,1.000000
4.000009,5.999994,4.000247,0.000182,-0.000116,0.004879,0.000000,0.000000,0.000000,1.000000
6.000004,6.000009,4.000251,0.000078,0.000170,0.004965,0.000000,0.000000,0.000000,1.000000
7.999769,6.000167,4.000252,-0.004578,0.003314,0.004989,0.000000,0.000000,0.000000,1.000000
0.000262,7.999979,3.999891,0.005195,-0.000389,-0.002374,0.000000,0.000000,0.000000,1.000000
2.000052,7.999948,4.000210,0.001065,-0.001021,0.004127,0.000000,0.000000,0.000000,1.000000
4.000010,7.999940,4.000248,0.000193,-0.001180,0.004915,0.000000,0.000000,0.000000,1.000000
6.000151,7.999942,4.000253,0.002989,-0.001154,0.005000,0.000000,0.000000,0.000000,1.000000
7.999935,7.999966,4.000254,-0.001291,-0.000678,0.005033,0.000000,0.000000,0.000000,1.000000
17144379785014.775391,10910059863191.201172,6.000002,174942650867497.125000,111327141461134.500000,0.000020,0.000000,0.000000,0.000000,1.000000
2.000001,782474953601766656.000000,6.000002,0.000010,7984438302058841088.000000,0.000025,0.000000,0.000000,0.000000,1.000000
4.000000,10412833517558708224.000000,6.000003,0.000002,106253403240395194368.000000,0.000026,0.000000,0.000000,0.000000,1.000000
6.000000,-3242399123708438528.000000,6.000004,0.000004,-33085705343963705344.000000,0.000039,0.000000,0.000000,0.000000,1.000000
7.999989,-10412833517558757376.000000,6.000017,-0.000113,-106253403240395440128.000000,0.000170,0.000000,0.000000,0.000000,1.000000
782474953601769088.000000,2.000002,6.000012,7984438302058852352.000000,0.000022,0.000124,0.000000,0.000000,0.000000,1.000000
2.000379,2.000360,6.000184,0.007715,0.007316,0.003617,0.000000,0.000000,0.000000,1.000000
4.000014,2.000398,6.000222,0.000280,0.008088,0.004383,0.000000,0.000000,0.000000,1.000000
5.999991,2.000402,6.000224,-0.000185,0.008177,0.004417,0.000000,0.000000,0.000000,1.000000
7.999800,2.000385,6.000235,-0.003949,0.007845,0.004620,0.000000,0.000000,0.000000,1.000000
10412833517558753280.000000,4.000000,6.000014,106253403240395358208.000000,-0.000028,0.000165,0.000000,0.000000,0.000000,1.000000
2.000415,4.000014,6.000204,0.008461,0.000258,0.004003,0.000000,0.000000,0.000000,1.000000
4.000018,4.000016,6.000249,0.000369,0.000318,0.004916,0.000000,0.000000,0.000000,1.000000
5.999992,4.000017,6.000253,-0.000150,0.000347,0.005017,0.000000,0.000000,0.000000,1.000000
7.999773,4.000017,6.000276,-0.004485,0.000342,0.005458,0.000000,0.000000,0.000000,1.000000
3157553280493186.500000,6.000000,6.000004,33237402952559836.000000,-0.000004,0.000040,0.000000,0.000000,0.000000,1.000000
2.000399,5.999995,6.000204,0.008309,-0.000090,0.004016,0.000000,0.000000,0.000000,1.000000
4.000019,5.999994,6.000248,0.000387,-0.000121,0.004913,0.000000,0.000000,0.000000,1.000000
5.999997,5.999998,6.000250,-0.000064,-0.000039,0.004955,0.000000,0.000000,0.000000,1.000000
7.999777,6.000015,6.000260,-0.004418,0.000293,0.005148,0.000000,0.000000,0.000000,1.000000
-782474953601757312.000000,7.999989,6.000013,-7984438302058738688.000000,-0.000111,0.000135,0.000000,0.000000,0.000000,1.000000
2.000387,7.999823,6.000205,0.007902,-0.003481,0.004029,0.000000,0.000000,0.000000,1.000000
4.000019,7.999797,6.000250,0.000380,-0.004027,0.004941,0.000000,0.000000,0.000000,1.000000
