x,y,z,vx,vy,vz,fx,fy,fz,mass
157266.495022,-87320.889801,-8134.267343,1966.235654,-1091.513390,-101.679743,0.000000,0.000000,0.000000,1.108544
3978466.668350,5298631.831102,-1232068.732870,49731.061858,66232.923652,-15400.855392,0.000000,0.000000,0.000000,1.126065
-11837.493252,-19242.286904,-32081.070088,-147.733465,-240.551527,-401.007287,0.000000,0.000000,0.000000,0.994733
180062764.237719,264862488.639144,-302622984.256237,2250784.876914,3310780.975498,-3782787.298181,0.000000,0.000000,0.000000,0.822397
-59006668.392107,-60036638.793530,-72850285.479961,-737583.095297,-750457.988537,-910628.565884,0.000000,0.000000,0.000000,0.898558
-12093.446579,-9007.565839,12748.368483,-150.905772,-112.427604,159.348517,0.000000,0.000000,0.000000,0.846977
-85.185350,-2.722966,-8.582613,-0.756439,-0.082350,-0.114814,0.000000,0.000000,0.000000,1.116249
82410931.352532,53987344.534004,-139233048.853528,1030136.975106,674841.788536,-1740413.111538,0.000000,0.000000,0.000000,1.187704
19016.736360,6291.847579,2092.210085,237.857018,78.621478,26.153092,0.000000,0.000000,0.000000,0.950589
50598514.419784,-3712926504.179461,6771687154.783702,632481.752521,-46411581.437894,84646089.432965,0.000000,0.000000,0.000000,0.818971
-943.563694,-544.194471,1313.228784,-11.675630,-6.798302,16.409953,0.000000,0.000000,0.000000,1.167247
6484.165337,-3640.048814,5050.340300,81.331309,-45.550376,63.209775,0.000000,0.000000,0.000000,0.972061
-4867.117823,5881.926018,-23820.782094,-60.599453,73.638548,-297.754538,0.000000,0.000000,0.000000,1.081818
11225818.812036,113789813.019822,77525480.182726,140322.978920,1422372.652360,969068.504432,0.000000,0.000000,0.000000,0.989544
18179.494475,-9019.948540,-27717.668647,227.424879,-112.780727,-346.466090,0.000000,0.000000,0.000000,1.158531
37765.667429,-41411.588505,-31173.967326,472.899980,-518.218641,-390.155440,0.000000,0.000000,0.000000,1.162612
-283.272745,14.684497,210.981226,-4.187107,0.443571,3.150354,0.000000,0.000000,0.000000,0.916922
3471.686878,-30620.697647,-16091.637181,43.734136,-382.616954,-201.147604,0.000000,0.000000,0.000000,0.931872
-4173245.522261,-28753.617028,-1833915.034026,-52165.321241,-359.428273,-22923.932570,0.000000,0.000000,0.000000,1.092022
-32.198616,62.509984,4.515207,-0.318408,0.852831,-0.027590,0.000000,0.000000,0.000000,1.076214
875.707618,-50.871969,-320.377837,11.091253,-0.599464,-4.003933,0.000000,0.000000,0.000000,0.867463
647.640835,500.216007,221.198975,8.249828,6.104620,2.762230,0.000000,0.000000,0.000000,0.990617
166448.017385,52394.118726,40817.750915,2080.791022,654.979569,510.225993,0.000000,0.000000,0.000000,0.852733
-249076793532.958313,-13711665862.409372,351627959675.262756,-3113459918.902810,-171395823.285772,4395349495.940047,0.000000,0.000000,0.000000,1.112751
1353.578801,-966.705874,-1445.554482,17.174556,-12.128642,-18.065396,0.000000,0.000000,0.000000,0.971706
-553233743.416507,-12126680928.516443,5193347841.757249,-6915421.557165,-151583511.603897,64916848.016750,0.000000,0.000000,0.000000,0.863572
-19637.231004,-9613.470373,2162.525519,-246.587025,-120.725181,27.170273,0.000000,0.000000,0.000000,0.901633
-2264.784858,1798.219162,-7717.631526,-28.202079,22.546913,-96.466106,0.000000,0.000000,0.000000,1.076310
