x,y,z,vx,vy,vz,fx,fy,fz,mass
-26.373758,-3.848289,-0.262227,5.430275,-0.715829,-0.248213,0.000000,0.000000,0.000000,1.108544
285.196587,139.745902,-277.393365,433.427488,201.941243,-396.239614,0.000000,0.000000,0.000000,1.126065
-13.643484,-14.864035,-11.935860,8.120884,-24.067621,-16.181642,0.000000,0.000000,0.000000,0.994733
15537.336612,22903.474496,-26156.844819,22233.217164,32704.107387,-37366.347244,0.000000,0.000000,0.000000,0.822397
-5138.165522,-5205.913488,-6317.003909,-7310.567351,-7437.432766,-9023.992339,0.000000,0.000000,0.000000,0.898558
-25.018189,-15.401232,7.155372,-5.626223,-2.781350,9.734566,0.000000,0.000000,0.000000,0.846977
-25.680956,4.186961,0.318583,-0.183092,-0.299685,0.258460,0.000000,0.000000,0.000000,1.116249
7104.408731,4672.738220,-12047.609610,10187.235290,6673.267308,-17210.970126,0.000000,0.000000,0.000000,1.187704
-7.287946,4.988221,2.613858,5.098403,2.741381,6.138338,0.000000,0.000000,0.000000,0.950589
4314.860148,-318521.217616,580943.534201,6200.917156,-455045.813734,829919.125212,0.000000,0.000000,0.000000,0.818971
-10.648079,-0.894373,2.158744,-0.179634,-2.273026,2.959987,0.000000,0.000000,0.000000,1.167247
-13.587227,0.693829,4.662467,0.324761,2.438930,7.190409,0.000000,0.000000,0.000000,0.972061
-21.424906,-9.623343,-10.051118,-3.350629,-0.922421,-14.086707,0.000000,0.000000,0.000000,1.081818
952.805403,9853.596991,6713.558145,1389.009925,14075.379929,9591.042849,0.000000,0.000000,0.000000,0.989544
-12.196515,0.072342,-6.423356,2.040841,-3.511713,-8.260952,0.000000,0.000000,0.000000,1.158531
-18.558768,-7.775028,-0.970275,2.979295,-3.582141,-1.874285,0.000000,0.000000,0.000000,1.162612
-17.797560,-9.926501,0.320845,0.049576,-1.072855,0.898858,0.000000,0.000000,0.000000,0.916922
-27.437890,-20.956335,-5.436683,-0.569001,-13.770074,-8.041972,0.000000,0.000000,0.000000,0.931872
-383.820873,-27.883836,-161.040311,-519.996952,-40.808559,-229.449507,0.000000,0.000000,0.000000,1.092022
-9.493643,-0.925456,0.795627,0.141018,0.736942,0.494868,0.000000,0.000000,0.000000,1.076214
-12.118687,-11.273685,-6.379509,-2.814543,-11.571276,-10.046225,0.000000,0.000000,0.000000,0.867463
-10.931902,12.523398,0.911240,2.029497,0.971516,0.989340,0.000000,0.000000,0.000000,0.990617
-3.928117,-12.905477,5.088150,15.258696,-13.810662,7.695761,0.000000,0.000000,0.000000,0.852733
-20928409.043719,-1152079.718593,29545128.604141,-29897697.588248,-1645828.815546,42207326.486542,0.000000,0.000000,0.000000,1.112751
-20.715695,2.436378,-1.684003,-0.566807,-1.600472,-1.909279,0.000000,0.000000,0.000000,0.971706
-47103.180598,-1038606.444511,444615.793667,-67263.339027,-1483723.199617,635164.823304,0.000000,0.000000,0.000000,0.863572
